Time,data
1621551253.8757913,0.0
1621551272.6914706,1.0
1621551277.5233715,3.0
1621551281.031385,0.0
1621551293.0833423,1.0
1621551297.8351002,3.0
1621551299.9552631,0.0
1621551312.4431558,1.0
1621551317.8192291,3.0
1621551320.287082,0.0
1621551332.2107701,1.0
1621551336.7467992,3.0
1621551340.8390646,0.0
1621551352.810721,1.0
1621551356.842381,3.0
1621551359.2826886,0.0
1621551370.7633653,1.0
1621551376.0100813,3.0
1621551379.610358,0.0
1621551392.8343635,1.0
1621551399.7540195,3.0
1621551402.6580863,0.0
1621551415.2660077,1.0
1621551420.642082,3.0
1621551423.2501845,0.0
1621551433.0740685,1.0
1621551437.6977103,3.0
1621551440.4659536,0.0
1621551451.4177,1.0
1621551455.9613872,3.0
