Time,data
1621547850.088289,0.0
1621547869.6709602,1.0
1621547874.7989404,2.0
1621547883.23884,0.0
1621547898.4227939,1.0
1621547903.9028218,2.0
1621547912.5424132,0.0
1621547931.93429,1.0
1621547939.0621798,2.0
1621547950.2302382,0.0
1621547967.1980543,1.0
1621547973.5737498,2.0
1621547981.607322,0.0
1621548000.6537027,1.0
1621548006.4455543,2.0
1621548017.222883,0.0
1621548032.509208,1.0
1621548036.8610404,2.0
1621548046.7289813,0.0
1621548061.7010107,1.0
1621548068.4125643,2.0
1621548078.6408157,0.0
1621548097.1486676,1.0
1621548104.260381,2.0
1621548115.732524,0.0
1621548131.3322797,1.0
1621548135.5559535,2.0
1621548143.987961,0.0
1621548156.7158048,1.0
1621548162.8916993,2.0
