Time,data
1621550489.3957007,0.0
1621550503.0675426,1.0
1621550507.547322,3.0
1621550509.7046463,0.0
1621550523.7793407,1.0
1621550529.1231568,3.0
1621550531.2673388,0.0
1621550545.2993684,1.0
1621550549.8510025,3.0
1621550551.688026,0.0
1621550563.1708758,1.0
1621550568.5386343,3.0
1621550570.224154,0.0
1621550580.5548072,1.0
1621550584.954608,3.0
1621550586.842716,0.0
1621550598.2026927,1.0
1621550602.2985086,3.0
1621550604.5063803,0.0
1621550615.6185665,1.0
1621550622.4182181,3.0
1621550625.9462357,0.0
1621550636.129984,1.0
1621550644.6739762,3.0
1621550647.0553832,0.0
1621550655.8420217,1.0
1621550660.4497297,3.0
1621550662.6153324,0.0
1621550673.6339524,1.0
1621550678.9137726,3.0
