Time,data
1621552424.358742,0.0
1621552438.6466138,1.0
1621552445.8063374,2.0
1621552452.9984097,0.0
1621552469.8383298,1.0
1621552475.5979075,2.0
1621552480.5122724,0.0
1621552493.6379066,1.0
1621552497.8539062,2.0
1621552503.7098634,0.0
1621552515.7576468,1.0
1621552520.1254768,3.0
1621552524.3278933,0.0
1621552537.5576277,1.0
1621552544.101266,2.0
1621552548.7495089,0.0
1621552561.9252543,1.0
1621552568.6052115,2.0
1621552573.0211315,0.0
1621552584.5409179,1.0
1621552589.1247382,2.0
1621552592.860742,0.0
1621552604.4848728,1.0
1621552608.9485059,2.0
1621552612.4847271,0.0
1621552626.740605,1.0
1621552631.0203729,2.0
1621552639.3912861,0.0
1621552654.188015,1.0
1621552661.9398422,3.0
