Time,data
1621551670.3512177,0.0
1621551687.9590244,1.0
1621551692.8309023,2.0
1621551701.1430006,0.0
1621551713.3908176,1.0
1621551717.9824858,2.0
1621551724.6408262,0.0
1621551736.3345904,1.0
1621551740.8861754,3.0
1621551747.952704,0.0
1621551759.6143963,1.0
1621551763.8380542,2.0
1621551771.2381873,0.0
1621551785.8701825,1.0
1621551790.5979345,2.0
1621551796.9286578,0.0
1621551810.0855846,1.0
1621551816.277558,2.0
1621551823.1176946,0.0
1621551840.197404,1.0
1621551845.0771468,3.0
1621551854.9331777,0.0
1621551869.3491418,1.0
1621551873.6207256,2.0
1621551881.8688745,0.0
1621551891.9566612,1.0
1621551896.8287182,2.0
1621551909.7645445,0.0
1621551922.388342,1.0
1621551929.1401434,2.0
