Time,data
1621379154.867453,0.0
1621379174.9472127,1.0
1621379179.23497,3.0
1621379181.408633,0.0
1621379197.2911901,1.0
1621379203.8188,3.0
1621379206.128731,0.0
1621379220.4268737,1.0
1621379225.3626635,2.0
1621379227.290892,0.0
1621379248.8345308,1.0
1621379254.7462556,3.0
1621379257.1683433,0.0
1621379272.050088,1.0
1621379276.3299477,2.0
1621379277.8960881,0.0
1621379292.4580424,1.0
1621379296.737605,3.0
1621379299.3220737,0.0
1621379314.3375869,1.0
1621379321.68145,3.0
1621379323.8638175,0.0
1621379340.257331,1.0
1621379346.961184,3.0
1621379349.0954385,0.0
1621379365.4172666,1.0
1621379372.5214322,3.0
1621379374.6491795,0.0
1621379392.4409647,1.0
1621379397.4166324,3.0
