Time,data
1621548704.847471,0.0
1621548721.5020056,1.0
1621548727.8860803,2.0
1621548738.1827762,0.0
1621548748.9978004,1.0
1621548753.9256375,2.0
1621548763.801087,0.0
1621548777.965495,1.0
1621548795.9573302,3.0
1621548802.6409798,0.0
1621548823.6849895,1.0
1621548829.2604935,2.0
1621548841.15676,0.0
1621548866.9565158,1.0
1621548872.5243998,2.0
1621548883.9044397,0.0
1621548900.00425,1.0
1621548906.5000505,2.0
1621548918.3079996,0.0
1621548935.14774,1.0
1621548940.4435854,2.0
1621548950.9796755,0.0
1621548967.587531,1.0
1621548973.8591254,2.0
1621548986.391798,0.0
1621549004.059162,1.0
1621549009.9628892,3.0
1621549015.6077495,0.0
1621549033.2189548,1.0
1621549041.1865885,2.0
