Time,data
1621549740.251312,0.0
1621549755.4352884,1.0
1621549759.8350136,2.0
1621549767.592796,0.0
1621549782.1630197,1.0
1621549787.4589012,2.0
1621549795.7604518,0.0
1621549807.5867286,1.0
1621549812.1304793,2.0
1621549819.59263,0.0
1621549833.1384041,1.0
1621549838.8661678,2.0
1621549844.8422441,0.0
1621549857.4422936,1.0
1621549861.2578826,2.0
1621549867.5680828,0.0
1621549879.466064,1.0
1621549885.0977757,3.0
1621549890.2501214,0.0
1621549903.6576028,1.0
1621549909.2415187,2.0
1621549917.1920936,0.0
1621549930.8014858,1.0
1621549936.489403,3.0
1621549940.23344,0.0
1621549956.769272,1.0
1621549962.6569738,3.0
1621549968.961026,0.0
1621549980.1449046,1.0
1621549985.3367705,3.0
