Time,data
1621550052.576279,0.0
1621550069.0721135,1.0
1621550074.8239956,3.0
1621550076.7989264,0.0
1621550091.9598813,1.0
1621550097.3116276,3.0
1621550100.0477328,0.0
1621550111.7676215,1.0
1621550116.063306,3.0
1621550118.1354766,0.0
1621550135.4953284,1.0
1621550141.3989656,3.0
1621550143.119168,0.0
1621550157.1912198,1.0
1621550163.2549253,3.0
1621550166.8004806,0.0
1621550180.9429126,1.0
1621550187.0869207,3.0
1621550190.7029667,0.0
1621550207.590643,1.0
1621550214.3583922,3.0
1621550217.0482545,0.0
1621550232.3663442,1.0
1621550238.686042,3.0
1621550241.5422618,0.0
1621550255.062134,1.0
1621550260.3018315,3.0
1621550265.1020644,0.0
1621550286.1416874,1.0
1621550292.3813727,3.0
