Time,data
1621552826.424201,0.0
1621552842.1303086,1.0
1621552847.8418872,3.0
1621552852.458197,0.0
1621552866.650017,1.0
1621552873.2657564,3.0
1621552876.6318152,0.0
1621552888.0816946,1.0
1621552893.1936255,2.0
1621552898.6956477,0.0
1621552914.689607,1.0
1621552918.9372137,3.0
1621552921.4894202,0.0
1621552938.9131,1.0
1621552945.0727923,3.0
1621552950.095265,0.0
1621552963.4649086,1.0
1621552968.7925177,3.0
1621552972.5833023,0.0
1621552985.1606297,1.0
1621552990.424396,3.0
1621552993.6789784,0.0
1621553007.1445224,1.0
1621553018.888312,3.0
1621553021.7523158,0.0
1621553038.3922014,1.0
1621553043.5196278,3.0
1621553046.4727528,0.0
1621553058.5916886,1.0
1621553063.5914788,3.0
