Time,data
1621552069.9928377,0.0
1621552084.9144993,1.0
1621552089.1862557,3.0
1621552093.3143692,0.0
1621552106.9301405,1.0
1621552112.9140396,2.0
1621552122.1941302,0.0
1621552135.0499282,1.0
1621552140.3220005,2.0
1621552143.632588,0.0
1621552156.7377644,1.0
1621552162.0415347,2.0
1621552168.7215967,0.0
1621552180.9533823,1.0
1621552185.489256,2.0
1621552194.0879078,0.0
1621552206.2412193,1.0
1621552211.360877,2.0
1621552218.0159574,0.0
1621552229.145114,1.0
1621552233.3287003,2.0
1621552238.1369,0.0
1621552254.2405543,1.0
1621552260.22453,2.0
1621552267.7116854,0.0
1621552280.4962883,1.0
1621552285.9442124,3.0
1621552288.4083836,0.0
1621552302.400013,1.0
1621552309.8158092,2.0
