Time,data
1621550840.656174,0.0
1621550856.4559934,1.0
1621550862.0476763,3.0
1621550865.319974,0.0
1621550882.2156413,1.0
1621550887.0794706,3.0
1621550888.8476698,0.0
1621550900.703342,1.0
1621550905.415024,3.0
1621550908.7601473,0.0
1621550920.5751994,1.0
1621550924.4949348,3.0
1621550926.4390888,0.0
1621550934.247092,1.0
1621550937.4549007,3.0
1621550940.2149336,0.0
1621550950.3189924,1.0
1621550954.4626591,3.0
1621550958.951532,0.0
1621550969.4705036,1.0
1621550974.5345144,3.0
1621550976.7745006,0.0
1621550988.7586145,1.0
1621550993.902196,3.0
1621550996.5674667,0.0
1621551011.2302582,1.0
1621551018.2061627,3.0
1621551020.5262997,0.0
1621551034.5740669,1.0
1621551039.3339238,3.0
