Time,data
1621545704.5019772,0.0
1621545729.374036,1.0
1621545734.8296137,2.0
1621545746.0137851,0.0
1621545759.6536405,1.0
1621545766.2612567,2.0
1621545776.735332,0.0
1621545791.2133741,1.0
1621545795.5650604,2.0
1621545802.173085,0.0
1621545818.204996,1.0
1621545823.0048025,2.0
1621545835.6789875,0.0
1621545849.860635,1.0
1621545854.980307,2.0
1621545869.8364465,0.0
1621545885.4440143,1.0
1621545896.2599902,3.0
1621545900.9319522,0.0
1621545918.2195544,1.0
1621545924.0117767,2.0
1621545936.7796714,0.0
1621545952.9234877,1.0
1621545958.8432066,2.0
1621545974.0083005,0.0
1621545990.203095,1.0
1621545997.3948195,2.0
1621546006.2564592,0.0
1621546024.658636,1.0
1621546029.5465865,2.0
